0 weight:24 cost:5
1 weight:4 cost:9
2 weight:14 cost:20
3 weight:10 cost:29
4 weight:12 cost:19
5 weight:15 cost:30
6 weight:27 cost:27
7 weight:8 cost:9
8 weight:17 cost:23
9 weight:13 cost:6
10 weight:13 cost:10
11 weight:19 cost:9
12 weight:13 cost:22
13 weight:7 cost:9
14 weight:6 cost:6
Start population
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
100100010001110 weight:61 fitness:82
000100001000110 weight:64 fitness:65
101001100100000 weight:64 fitness:87
000001001011000 weight:62 fitness:81
011000000111010 weight:61 fitness:118
000000101000110 weight:62 fitness:79
011000000111010 weight:61 fitness:118
100011100010010 weight:65 fitness:73
010001000100011 weight:63 fitness:59
011000000111010 weight:61 fitness:118
001000110000001 weight:62 fitness:59
001100000001110 weight:60 fitness:89
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
001100100010010 weight:65 fitness:82
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
110010001001000 weight:63 fitness:81
011011000001010 weight:60 fitness:85
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
010000000101011 weight:60 fitness:82
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
101000110010010 weight:60 fitness:88
111000100011000 weight:65 fitness:108
000010000011011 weight:63 fitness:72
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
001000110001100 weight:62 fitness:103
011000000111010 weight:61 fitness:118
101100001000000 weight:65 fitness:64
010100001010000 weight:65 fitness:64
100010110000110 weight:62 fitness:77
011000000111010 weight:61 fitness:118
000010100001001 weight:64 fitness:67
001010011000010 weight:65 fitness:77
101001100000100 weight:63 fitness:77
000010010000111 weight:63 fitness:53
001101010010000 weight:65 fitness:65
000100100001110 weight:64 fitness:90
000101000010110 weight:62 fitness:63
110100010000001 weight:64 fitness:38
011000000111010 weight:61 fitness:118
100101000000001 weight:62 fitness:26
010010010010001 weight:64 fitness:52
001000001001100 weight:64 fitness:98
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
000000011000011 weight:63 fitness:50
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
001010100011000 weight:65 fitness:103
000010011001010 weight:62 fitness:84
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
100110010001010 weight:60 fitness:72
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
010000100011110 weight:64 fitness:109
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
000100001100010 weight:65 fitness:75
010001010001001 weight:62 fitness:58
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
100001101000000 weight:63 fitness:62
100100010010110 weight:63 fitness:72
110001010010110 weight:64 fitness:78
000011001001000 weight:63 fitness:72
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
101000100010100 weight:62 fitness:90
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
111001010000110 weight:65 fitness:81
010010101000000 weight:64 fitness:69
011000000111010 weight:61 fitness:118
110001000100001 weight:65 fitness:56
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
110000100001001 weight:64 fitness:72
001001000001011 weight:64 fitness:71
000011001010000 weight:65 fitness:62
011000000111010 weight:61 fitness:118
111011000001000 weight:62 fitness:82
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
111100000001010 weight:59 fitness:84

Current population for 1 generation
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
100100010001110 weight:61 fitness:82
101001100100000 weight:64 fitness:87
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
001100000001110 weight:60 fitness:89
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
001100100010010 weight:65 fitness:82
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011011000001010 weight:60 fitness:85
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
010000000101011 weight:60 fitness:82
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
101000110010010 weight:60 fitness:88
111000100011000 weight:65 fitness:108
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
001000110001100 weight:62 fitness:103
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
000100100001110 weight:64 fitness:90
011000000111010 weight:61 fitness:118
001000001001100 weight:64 fitness:98
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
001010100011000 weight:65 fitness:103
000010011001010 weight:62 fitness:84
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
010000100011110 weight:64 fitness:109
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
